"TIV of arms exports from Belgium, 1970-2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 09 December 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
Argentina,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,2,3,,,,,21
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,3,,1,,,,,,,,,,,,11
Bolivia,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,23,31,17,6,2,,,,,,,,,,,,,,,,,,,103
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,80,102,,,,,,,,,,,,314
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,,4,,,,,,,,,,,19
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,140,31,,,,,,,,,,50,,,3,,,,,,,,,,,,224
DR Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,12
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,0,3,1,6,1,1,,,,,5,,,84
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,5,4,17,16,2,3,61
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,17,,,,27,,7,96,91,1,103,,,,,,,,,,349
Kuwait,,,,,,,,,,,,,,,19,,19,,,,,,,,,,,,6,5,,,,,,,,,,,,,,,,,,,,,,48
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,,,,,,9
Malaysia,,,,,,,,,,,,,,51,90,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,33,18,22,,,,,,,,,,,,,,,,,,,,,,,,,74
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,36,,,,,,,,,,,,55
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0
NATO**,,,,,,,,,,,,,,,,,,,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53
Netherlands,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Panama,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,1,,,,,,,,,,,,,,,,,4,,,,,,11
Portugal,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,8,,,,,,,,,,,,,,,,,,,,,,25
Rwanda,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,14,15,47,,7,,,,,7,21,21,10,,,,,50,50,257
Sri Lanka,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Turkey,,,,,,,,,,,,,40,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,20
United Nations**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2
Uruguay,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,19
Zimbabwe,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,0,,,,,,,2,3,1,19,41,89,115,3,19,,18,36,1,1,,,33,158,57,93,46,45,26,37,35,15,47,159,59,19,217,243,9,116,22,55,10,12,7,17,21,53,53,2009
