"TIV of arms exports from France, 1970-2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 09 December 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,7,7,,,,,,,29
Algeria,14,14,,,,,,,,,,,,4,5,,,,,,,,,,,3,,,,,,,,,,12,7,,7,52,52,26,,,,,26,,,52,13,286
Angola,,,,,,,,,,,5,,,,,,23,5,10,10,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,15,,68
Argentina,42,17,73,107,5,9,15,19,189,99,105,200,140,99,40,4,25,,,,,,,,,3,18,,,60,,,,,,,,,,,,,,,,4,8,,,35,,1314
Australia,,,,48,24,,,,,,,2,25,25,16,1,150,,,,,,,,,,20,,20,15,,35,5,20,28,51,40,42,68,77,42,62,60,64,78,98,84,51,17,10,,1276
Austria,,,,6,6,,,,,,,,,,,,,,,,,,,7,18,15,10,33,38,33,,,,,,,,,,,,,,,,,,,,,,167
Bahrain,,,,,,,,,8,8,8,2,,,20,,7,8,8,7,,,,,,18,,,,,,,,,,,,,,,17,1,1,1,1,,,,,,,114
Bangladesh,,,,,,,,6,,,2,,,,,2,3,,,,,,,,,,,5,,,,10,,,,,,,,,,,7,15,,10,,10,,10,,79
Belgium,297,306,313,311,,,,,138,135,135,17,17,,,8,8,15,15,15,8,18,10,35,35,11,,8,,,5,4,,,,,15,8,15,8,,,7,18,47,22,,,,,,1998
Benin,,1,,,,,,,,,,,3,1,1,1,,1,0,0,,,,,,,,,,,,,,,,,,,,,,0,20,0,,,,,,,,28
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,2
Bolivia,,,,,,2,,,,8,11,,,,,12,6,,,,,,,,,,,,,,,,,,,,,,,2,,,,,15,,22,7,,26,26,136
Botswana,,,,,,,,,,,,,,,,2,,,,,,,,,,3,,,,,12,,1,5,,,,,,,,,,,,,2,,4,5,45,78
Brazil,,,98,99,2,35,24,,23,10,20,36,27,27,48,41,63,104,60,169,52,79,18,5,16,6,7,20,48,81,58,467,15,22,22,1,58,58,58,19,44,8,8,38,38,78,38,30,35,41,38,2384
Brunei,,,1,,,,,,3,6,,,,,,,,,,,3,3,,,,,,,,5,,4,1,,,1,2,,,,,,20,,10,,,,,,,59
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,29,15,15,7,10,5,,,,,,,,,102
Burkina Faso,1,,,,,8,8,0,,,,,1,7,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,0,29
Burundi,,,,0,,,,,,,,,2,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Cameroon,,,1,12,,,11,,,1,,2,3,1,104,,10,5,1,1,5,,,,,,,,,,,1,,,,5,,,,,,,,,,2,1,8,,,,173
Canada,,,,,,,,,,,,,,,,,,,,,,,4,8,25,22,23,21,6,17,,,,1,,,1,,,,,,,,,,,,,,,128
Central African Republic,,,,,,,,,0,,,,,5,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Chad,,4,,3,9,10,7,3,,,10,,,9,,1,9,19,,,,,,,,,,,,,,,,,,,,,3,,,,3,1,,,,,,1,0,90
Chile,,,2,86,5,9,3,8,23,,82,111,101,106,15,,20,7,,30,17,49,25,25,8,50,37,170,17,11,5,,2,1,20,299,1,,4,47,15,61,7,14,20,23,20,,,,1,1554
China,,,,,,,,72,83,,,,3,15,,,,27,74,170,151,181,148,166,170,200,194,149,122,115,92,110,146,132,241,202,142,149,168,128,158,171,204,214,179,201,158,140,121,126,98,5318
Colombia,1,1,104,104,1,1,,,,,,,,42,57,,,1,1,,,,,,,,,3,3,,,4,4,,,,,,,,12,,12,,,4,,,,,,353
Comoros,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Congo,1,2,,,7,,,,8,,,3,,,,3,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Cote d'Ivoire,7,0,1,,18,,,22,16,24,55,18,,,9,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,5,5,5,,,,,188
Cyprus,,,,,,,,,,,,,,19,,11,12,13,78,9,45,70,,,39,,,,,,2,6,,,,20,,,,,1,1,,,,,,,,,10,334
Denmark,,,,,,,,,,,,,,,,,,,,,7,7,3,3,3,86,,10,29,,,4,5,4,,,,,,,,,,,,,,,,2,,161
Djibouti,,,,,,,,3,6,33,3,2,3,3,,1,,1,,,,,3,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,63
Dominican Republic,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
DR Congo,,74,15,5,,258,1,,9,,,5,10,5,16,,,,0,,1,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,424
Ecuador,,26,35,,2,14,81,69,11,87,93,100,132,57,50,15,5,15,,,,15,,,,,3,5,6,,,,,,,,,,,,,2,7,2,7,1,,,2,,,840
Egypt,,,,85,228,226,34,273,89,65,308,104,91,376,190,182,134,348,49,34,33,,,,,,,,1,1,1,,,,,,,,,,,,4,41,17,695,898,729,554,75,10,5873
El Salvador,,,,1,,,4,,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,3,4,3,,,13,,15,,3,3,38,3,87
Ethiopia,5,,20,,,,,28,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,60
Fiji,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Finland,,,,,,,,,,,,,,,,,,,,,4,4,139,272,124,42,4,4,5,5,5,5,4,3,,3,5,,35,,7,14,7,59,52,52,,,,,,850
Gabon,1,9,,2,10,1,16,,72,,18,,,1,89,2,7,10,25,,19,,,,,,,,,,,,,,,,,,,,,,1,,,4,3,,,,,289
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,37
Germany,48,48,166,354,403,254,38,38,68,36,45,50,50,6,2,2,,,,,,,,,,,,,,,,,13,13,25,25,25,25,,,,,,26,26,26,,,,8,,1817
Ghana,,,,,4,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,9
Greece,,147,200,13,,70,192,380,609,5,180,179,4,4,,,,,274,365,12,8,272,37,37,8,8,9,6,98,3,74,41,65,50,16,61,879,1,,10,41,12,26,33,26,26,26,5,5,5,4519
Guatemala,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Guinea,,,,,,,,,,7,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,12
Guinea-Bissau,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Guyana,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,7,,,,,,,,,,,,,,,,,3,6,,3,,30
India,28,20,21,21,30,31,28,28,28,29,33,42,44,46,75,525,499,172,188,102,86,75,55,54,56,50,44,43,43,43,41,20,11,16,149,100,5,10,23,23,24,27,32,59,62,123,117,411,192,712,1013,5706
Indonesia,,,,,,,,,6,48,102,113,22,17,27,7,,7,15,,,,,,1,,12,16,6,,8,16,14,3,8,13,34,54,25,20,33,29,21,13,18,54,39,98,15,57,48,1015
Iran,10,153,2,2,2,2,,95,334,,,143,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,745
Iraq,32,24,3,2,2,48,66,100,67,79,284,650,677,819,995,946,126,97,233,78,192,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,5521
Ireland,7,,4,3,1,4,3,,2,7,10,7,,,,,16,,,,,,,,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,64
Israel,24,9,9,15,15,15,18,18,18,44,44,,,7,10,10,7,,,,,3,,,3,3,14,21,17,,,,6,,,,,,,,,,,,,,,,,,,327
Italy,,162,162,162,,,,,,,,,5,5,5,5,10,10,10,10,10,8,8,8,8,8,8,15,18,13,13,10,11,9,1,8,,12,8,20,,,,30,21,21,21,11,10,10,,859
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,5
Japan,,,,,,,,,7,14,7,,7,7,7,10,7,,7,,7,5,17,14,14,4,4,4,4,4,10,8,9,8,6,1,17,15,2,0,2,0,1,1,0,0,1,1,1,,,232
Jordan,,,,,,,,,,,,118,393,168,5,,,29,58,10,,,,,,,,,,,,,,,,,8,,,,,,,,5,,,3,,,,796
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,13,,,39
Kenya,,5,,,2,,12,14,,,4,,,,,,,20,,23,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,2,,,90
Kuwait,,,,,3,73,214,169,,,6,6,28,20,117,249,53,27,0,2,6,16,,,,,,2,13,176,170,,,,,7,,,,2,,,,,,,1,22,3,29,52,1465
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,7
Lebanon,,1,39,24,17,1,2,,2,,12,7,12,,89,28,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,3,,0,,2,4,7,,253
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,3
Libya,,414,467,500,493,69,,23,60,406,155,173,357,102,51,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,1,,,,,,,,,,3279
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,10
Madagascar,,,,,17,1,,,,,,,,,,6,,,,,,,,,,,4,,,,,,,,,,,,,0,,,,0,,,,,,,,28
Malawi,,,,,,,,6,7,6,,,,,1,4,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
Malaysia,,,58,174,32,,,,,24,,,,,22,10,10,,,,,,,,,,17,1,4,15,1,,,21,19,11,,17,7,302,1,3,45,51,38,,12,,0,0,11,904
Mali,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,0,,,4,3,,,2,11
Mauritania,11,1,,,,,6,5,2,6,,,7,,,,,,,0,,,,,16,,,,,,,,,,,,,,,,9,2,,,,,,,,1,,66
Mauritius,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,4
Mexico,,,3,2,,,,,,30,,16,19,,,3,67,,10,,,,3,3,,,,,,,,,,,,7,,,,,15,15,60,15,23,,35,30,8,,10,371
Morocco,24,,,3,55,82,82,116,240,519,273,154,208,84,44,23,13,12,22,,10,19,17,,,28,55,83,,,,5,155,,,,,,,,10,722,41,23,532,,10,50,50,,,3760
Myanmar,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,,17
Nepal,,4,,,,6,6,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,19
Netherlands,81,81,40,,,,13,,1,9,8,5,,23,30,8,23,15,,15,7,,7,7,7,,65,59,,,1,6,,,,15,15,15,15,8,23,11,14,16,,11,,,,,,650
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,5,,,,,,,,,,,,14,14,21,14,,,,,,,76
Nicaragua,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Niger,,1,,,3,,,,,,7,,6,13,,,1,,,,,7,,,,,,,,,,,,,,,,,,,0,0,,2,0,0,,,,2,,41
Nigeria,,,,,,,12,24,54,,45,14,206,,98,105,7,12,12,15,18,,,,5,,,,,,,,,,,,,,,,,,11,8,,,,7,21,,17,690
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2
Norway,,,,,,,,,,,,,,1,,,,,15,23,15,,5,8,8,10,28,30,25,,,1,,,,1,35,35,50,50,35,48,23,13,3,3,3,,8,14,2,485
Oman,,,,,,,,,3,,,,23,19,20,14,6,5,5,25,10,,,,,38,56,42,1,,,5,11,14,3,,3,,,91,14,14,82,79,44,,,21,,,,646
Pakistan,226,169,172,4,4,77,103,203,140,384,347,190,165,47,,15,45,25,30,0,0,12,60,5,5,8,60,5,117,348,90,86,42,302,36,20,29,,303,20,20,21,17,27,4,,,,,,,3980
Peru,,,,11,156,4,120,9,,11,235,246,,,52,92,162,119,,3,,,7,,,,0,4,12,,,,,,,,,,,,,,,,8,8,50,,,,,1308
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,4,,10
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,13,13,13,13,0,,,,,,,,75
Portugal,38,15,15,15,24,50,3,,,,,,,,,14,2,,,2,8,16,,,,,,,,1,0,1,,,,,,,,,,,,,,,,,,,,205
Qatar,,,,,,,,55,16,,55,46,108,388,252,,,57,87,10,5,5,40,11,10,11,40,188,276,60,14,11,11,11,,,,27,,,0,,25,57,,5,,,1,1610,411,3901
Romania,,,3,5,7,7,7,7,37,37,37,44,62,68,66,66,59,59,47,35,30,18,12,12,7,,,,,,,,,6,6,,,12,6,,,,,1,0,1,,,,,,764
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,5
Rwanda,,,,2,,2,,,,,,,,4,6,3,2,,2,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
Saudi Arabia,49,,,,,65,160,141,174,260,436,411,277,81,172,914,942,267,266,184,297,213,97,49,,,,5,31,36,25,7,374,29,761,1,4,26,25,31,89,84,25,53,169,161,76,115,197,221,30,8027
Senegal,,12,,1,17,,14,24,3,0,,,,33,4,,14,,,,,,,,1,6,,,,,,,,,,,1,,,,,9,,5,,11,20,3,5,31,,212
Seychelles,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
Sierra Leone,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Singapore,4,,,,,,,,,,12,,4,10,,36,51,51,22,,59,25,53,60,34,50,30,19,,14,16,0,,,,,6,290,843,589,,,50,23,1,25,3,190,185,35,,2788
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,,,,,26,,,,,,,,,,55
Somalia,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2
South Africa,424,214,133,198,88,186,357,295,198,,12,,,1,13,,2,3,5,11,8,8,20,20,18,,,,,,,,,,,17,30,30,1,1,1,9,9,2,,,,,,,,2310
South Korea,,,6,,,3,3,3,8,5,10,5,5,,8,,8,1,,,5,,,20,20,20,20,33,128,123,80,80,80,87,80,27,163,186,172,160,2,,2,,,,15,35,,,,1600
Spain,31,203,191,124,54,404,78,54,214,284,293,265,294,474,15,200,220,20,120,155,111,15,30,30,101,34,15,49,22,32,46,27,22,,5,20,,37,26,1,25,14,,,30,30,59,73,116,21,33,4716
Sri Lanka,,,,,,,,,7,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,8,8,,,25
Sudan,,,,,,,,,,,0,8,,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,7
Sweden,11,,,,,,,,,,,,3,,15,3,28,20,47,29,31,3,9,,7,7,,,,0,0,,,,,,,,,,,28,,7,21,9,13,9,7,7,,314
Switzerland,79,,25,33,6,,,,,,,,,24,,,,15,7,,,7,73,7,,,,,,,14,57,44,,,,,,,,,,,,,,,,,,,390
Syria,,,,,,,8,21,50,35,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,5,650,1833,1699,,,,,,5,50,,,,,,,,,,,,,,,,4242
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,32
Thailand,,,,,,,4,4,4,14,13,,,20,45,45,0,32,35,3,,,,,,,85,72,,,,6,,,,,,,,40,,,,4,4,30,15,,55,15,,542
Togo,1,1,,2,,9,15,,2,9,27,19,,,,,3,0,1,,,9,,,,,,,,,,,,,,,,,,,1,,,,14,,,,,1,1,115
Trinidad and Tobago,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Tunisia,44,,,4,6,12,,4,2,27,,11,39,,9,225,,0,,,4,,,,,,,0,,1,,,,,,,,,,,,,,,,,2,2,,,,392
Turkey,28,28,36,14,,,,1,,,,,15,16,,,,,1,1,1,1,1,25,50,124,123,34,125,163,156,170,189,15,,,,,,,,,,15,8,,,,,,3,1340
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,3
UAE,,,23,81,93,58,167,198,121,12,74,78,78,25,37,28,,,,544,337,103,,25,45,109,232,262,262,272,161,155,196,604,823,898,918,357,58,23,59,104,5,269,,170,204,183,,,50,8498
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,,9
UNITA (Angola)*,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
United Kingdom,60,60,60,19,55,74,74,67,21,46,93,21,38,30,15,15,15,15,15,10,,,,,,,4,11,27,23,23,19,15,,,,,,,69,69,69,69,69,,,,,,,,1269
United States,30,6,9,7,5,,,63,63,63,63,63,63,53,10,86,96,106,92,57,48,68,64,45,15,48,24,,14,,,,,,,,20,39,23,72,54,55,67,78,65,53,65,65,48,32,64,2058
Unknown recipient(s),10,10,10,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Uruguay,,,,,,,,,,,,34,,,,1,,,,36,36,36,,,,,,,7,,,,,,,,,,,,,,,,3,,,,,,,153
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,38,28,,23,,,90
Venezuela,,,6,173,176,6,3,14,1,,0,0,,,,37,38,0,16,97,132,110,62,30,,,,,,29,29,5,5,,,,,,,,,,,,,,,,,,,970
Viet Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,15
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,2
Yugoslavia,,,17,2,6,13,14,14,14,14,14,14,23,14,15,15,15,14,19,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237
Zimbabwe,,,,,,6,,1,,,,,,,,,,0,2,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1670,2241,2540,2845,2103,2203,2020,2694,3263,2972,3810,3745,3798,3440,2992,4034,3024,1786,1989,2292,1832,1218,1263,990,903,1027,1942,3281,3165,1818,1079,1418,1428,1401,2301,1826,1664,2366,1978,1889,870,1735,1029,1493,1656,2043,2088,2359,1784,3269,1995,110567
