"TIV of arms exports from Russia, 1970-2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 09 December 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,16,,,,27,68,77,81,81,203,,,,,,,586
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,155,226,46,,,83,241,380,99,145,237,92,202,503,1498,1010,690,979,649,304,313,549,1588,1013,1140,,437,12580
Angola,,,,,,,,,,,,,,,,,,,,,,,,47,57,,3,7,97,,56,76,18,,,,,,,,,,,,,27,98,63,188,125,,862
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,14,,,,,,,,,,15
Armenia,,,,,,,,,,,,,,,,,,,,,,,,2,181,47,70,,,,,,,,68,,,,,46,46,2,,16,,,110,18,,228,,832
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,18,2,97,477,256,305,550,210,7,109,53,,,2152
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,21,,,31
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,27,5,54,,,,142,122,39,14,,,,21,20,,,,28,20,50,,73,149,93,,34,,889
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,,,,,,,116,,,,,75,75,75,66,87,112,147,141,331,13,1320
Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,4
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,77,18,36,,35,6,5,,,,,184
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,41,1,1,1,122,,,,,,,,,,,,,,,,,,,,,,,,,165
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,12,,,,,,,2,,,,,,14,,,34
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,27,,11,,,,,45
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,14,,,,7,,,,,,,,,,,34
China,,,,,,,,,,,,,,,,,,,,,,,1023,1011,72,498,1241,732,174,1462,2231,2495,2536,2066,2872,3123,2450,1301,1459,1075,685,746,598,694,602,780,691,1011,1696,1108,600,37028
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,41,,,,,27,,34,,,,,,,,,,,,169
Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,14
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
Croatia,,,,,,,,,,,,,,,,,,,,,,,27,27,,,,,,,,,,,,,,14,54,,,,,,,,,,,,,122
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,8
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,33,151,62,,113,,109,,,,,20,,,,43,22,6,,,,,,,,,559
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,168,26,,,,,,,,,,,,,,,253
Djibouti,,,,,,,,,,,,,,,,,,,,,,,14,5,,,,,,,,,3,,,,,,,,,,,,,,,,,,,23
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,16,,,,,,,,,,2,2,,14,,,,,,,,,,80
Egypt,,,,,,,,,,,,,,,,,,,,,,,3,8,16,11,5,140,,47,,,60,60,60,135,60,75,,8,367,416,68,27,110,6,178,1111,813,763,454,4999
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,7,,,14
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,4,41,,214,16,,57,,,70,3,,,,,,,,,,,,,,,,406
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,86,88,,,174,230,,,,,,54,,,,,,,,,69,,858
Finland,,,,,,,,,,,,,,,,,,,,,,,88,,11,,195,,,,,,,,,,,,,,,,,,,,,,,,,294
Georgia,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Germany,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,41,,,,,,,,68
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,369,299,136,47,20,22,63,,,,,,,,,,,,,,1,,1095
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
Hungary,,,,,,,,,,,,,,,,,,,,,,,,885,,,52,99,35,51,,,,,51,,,,,,,,,,7,,,,,,,1180
India,,,,,,,,,,,,,,,,,,,,,,,597,468,447,1094,587,1232,481,952,642,912,1788,2096,1463,687,923,1745,1518,1387,2294,2483,3798,3853,1719,1961,1887,1411,1102,1182,969,41676
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,229,27,,,,41,165,191,58,19,351,54,,,,,,,1144
Iran,,,,,,,,,,,,,,,,,,,,,,,220,559,83,47,289,119,256,258,341,298,92,85,15,15,368,283,15,50,37,33,15,4,4,4,413,4,4,3,2,3911
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,27,95,,68,81,,51,333,472,352,173,493,175,,2386
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,60,80,40,44,,,,,,60,60,,352
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,99,2,64,,68,121,136,20,,29,38,27,71,8,19,50,45,75,54,28,441,198,163,267,305,266,2593
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,20
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,6,134,73,96,,,,,,,,,,,,,36,65,,,,48,,,,,,459
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,3,,,,,,,,,,4,9,13,1,14,,53
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,21,4,7,,,0,,4,,,,,,14,,,,,,,64,18,17,192
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,9
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,13,13,,15,,,36,,,,,,,,90
Lithuania,,,,,,,,,,,,,,,,,,,,,,,70,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,77
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,17
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,551,,,,14,,1,46,16,,,,398,400,399,0,,2,12,,,,,,,,1838
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,12,,35
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,27,27,24,183,,81,69,,2,,,,34,,,,7,,20,,,,,,,,,474
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,27,3,79,,,74,,,,17,,212
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,69,27,27,27,,,,,,,,,,,,,156
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,7,,9
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,47,,34,,,,87,134,,120,137,151,127,14,14,44,380,144,55,28,12,,66,9,70,,1672
NATO**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,58
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,14,,,,,,20
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,13,15,86,7,,,,134
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,7
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,1,2,27,,,,,,,,,,,58,87,,24,24,13,38,307
Northern Alliance (Afghanistan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,207,,,,,,,,,,,,,,,,,,,,228
North Korea,,,,,,,,,,,,,,,,,,,,,,,126,38,30,87,78,9,9,9,18,28,9,8,8,5,5,5,5,4,1,,,,,,,,,,,479
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,27
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,34,81,,,,,,99,,81,,,7,20,7,31,31,31,31,22,44,49,44,70,44,40,764
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,,,,,,,,2,,14,6,,,,,,,,,,,29
Peru,,,,,,,,,,,,,,,,,,,,,,,27,,,22,31,11,2,94,,1,,,,,,,,12,,59,,,54,88,20,,,,,421
Poland,,,,,,,,,,,,,,,,,,,,,,,52,0,22,147,4,,,23,23,23,8,4,4,,,,19,,20,14,,,,,,,,,,362
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,,40
Romania,,,,,,,,,,,,,,,,,,,,,,,154,2,22,2,15,33,1,1,1,,,,,,,,,,,,,,,,,,,,,231
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,,,,,,,,,,,,,,14,27,,,,,,68
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,12
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,12,,,,,,,,,,,,,,25
Serbia,,,,,,,,,,,,,,,,,,,,,,,4,2,2,2,1,6,1,1,1,,,,,,,,,,,,,,,,14,65,,69,119,285
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,,,,,,,,,,,,,,,,,,,,,,28
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,146,29,200,29,,,,,,27,,,,,,,6,6,,,,,,,,,,,442
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,34,,,,,,,,,,,34
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,50
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,60,131,14,29,29,,,10,32,86,102,,,,,,,,,,,,,,,492
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,18,4,,,,,82
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,20,41,,,,28,18,,63,,,,,,,,,,,,20,,,,,,,,190
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,91,31,86,277,92,22,20,22,36,69,73,46,,,51,51,24,0,,,998
Syria,,,,,,,,,,,,,,,,,,,,,,,14,10,,,,,20,23,9,8,25,25,5,15,26,,62,85,353,410,496,496,2,16,3,25,181,,72,2380
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,13,7,,34,,,,,,,8,19,,3,,110
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,20,,,,14,,,14,,,50
Turkey,,,,,,,,,,,,,,,,,,,,,,,,24,7,44,95,,,,,,,,,,,,,16,16,,,,,,,,,280,32,513
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,27,134,53,12,15,50,36,,,,,363
UAE,,,,,,,,,,,,,,,,,,,,,,,116,138,196,202,36,99,133,68,44,,,,,,,,1,149,324,126,126,126,,,,,40,80,80,2083
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,18,,,,,14,,440,151,20,,,,,,,,645
Ukraine Rebels*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,24
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,2
United Nations**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,24
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,16
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,7
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,,,,,,,,30,,,,,,,,,48,46,142
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,,,,,,,,,353,748,699,252,57,266,516,881,79,,,,,,,3899
Viet Nam,,,,,,,,,,,,,,,,,,,,,,,,,,279,167,98,171,145,2,89,54,2,294,164,16,2,164,53,149,974,760,313,1056,735,702,465,333,137,18,7339
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,53,14,524,18,225,241,,,,,90,,,,,,,,,,,1168
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,14
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,2605,3439,1475,3891,3550,3345,2032,4256,4486,5271,5730,5138,6252,5186,5126,5500,6175,5027,6214,8676,8180,7919,5469,5922,6790,6088,6753,5226,3203,148924
