"TIV of arms exports from Spain, 1970-2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 09 December 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,48,,,,,,,,,,,,,,,72
Angola,,,,,,,,,,,,,,,,15,15,,,15,,,,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,79
Argentina,,,,,,,,,,,,,23,90,,,,,,8,,,,,,,,,,,,,,,,,,5,7,3,3,,,,,,,,,,,139
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392,98,,479,479,,499,499,,499,2944
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,10
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,13
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,12
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,73
Bolivia,,,,,,,,,,,,,,,,,,,,4,,,4,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,12
Botswana,,,,,,,,,,,,,,,,,,9,9,,,,,8,,,,,,,,,,,,,,,,9,9,,,,,,3,,,,,46
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,24,24,,,,,,,,12,,12,12,180
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,18
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,24,36
Chad,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Chile,,,,,,,,,38,,,,16,16,,,8,12,12,21,30,12,4,8,16,8,8,32,,,,4,,,,,299,,5,,22,55,,,,,,,,,,625
Colombia,,,,,,,,,,,,,,,,,,,,,,8,,,,,12,,58,,,,,34,,5,,13,38,12,17,,,24,,,,,,,,219
Congo,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,12
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,48
Djibouti,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Dominican Republic,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,13
Ecuador,,,,,,,,,,,,,,,,,5,,,18,,,,,,,,,,,,,,,,33,,,,,,,,,36,26,26,,,,,144
Egypt,,,,,,,,,,,,,,,215,25,13,,,,,,,,,,,,,,,,,,,,,,,,,36,,60,48,48,96,,,,,541
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2
Equatorial Guinea,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,12,,,,,,,,,,36
France,,,,,,,,,,,,,,,,,,,8,11,,44,26,,,,,,26,18,18,,18,26,,,,,,,,9,9,53,,,,,,,,265
Gabon,,,,,,,,,,,,,,,4,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,,,,12,,,,,36
Guatemala,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,34
Honduras,,,,,,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
Indonesia,,,,,,,,,,,8,,,,15,15,15,15,15,15,,,,,,,,,,8,,,,,,11,11,11,,,,,24,47,32,24,4,,,,,271
Iraq,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,32,,,,,35
Ireland,,,,,,,,,,,,,,,,,,,,,,10,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,44
Jordan,,,,,,4,11,,,,,,,,,,,32,32,,,,,,,,,,,,,,,12,12,,8,,,,,,,,8,,,,,,,119
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,,24,24,,,,96
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,30,,,41,,,,,,,,,,,,,,,31,,,,,,,,,102
Lesotho,,,,,,,,,,,,,,,,,,,,8,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,15
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,73
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,,,,,,73,146,73,,,,591
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,12
Mauritania,,,,,,,,6,,18,,,9,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,3,,,,,,,,,,44
Mexico,,,,,,,,,,,,,45,90,,,33,22,,,,8,,,,,,,,,,,,,,,,,,24,58,89,50,,,82,,,,,,501
Morocco,,,,,,,,,,,,118,118,95,,,,,35,70,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3
NATO**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,,294,320
Nicaragua,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,33
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427,427,427,427,,427,,,,,,,,,,2133
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,43,69,26,,,,186
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,10
Panama,,,,,,,,,,,,4,8,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,4
Peru,,,4,4,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,12,,,12,,48
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,36,36,,24,24,,,,36,24,,,,,,,,204
Portugal,70,140,,,82,256,34,,,,2,,,,,,,,,,,,,,11,,,,,,,,,,,,,,25,60,77,24,,,,,,,,4,14,799
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,11
Saudi Arabia,,,,,,,,,,,,,,,,18,18,35,,,,,,,,,,,,,,,,,,,,,,,,98,196,,98,208,,15,70,,,755
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,2,,,,,,,,,,4
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,392,,588
South Africa,,,,,,,,,,,,,,,,4,4,4,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
South Korea,,,,,,,,,,,,,,,,,,,,,,,,18,88,,,,,,,,,,,,,,,,,,,,,,,,98,294,,498
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,20
Sweden,,,,,,,,,,,,,,,,,17,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
Syria,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,13,471,,,,,,,,,,,,,,,,,,,12,,,12,,507
Turkey,,,,,2,,,,,,,,,,,,,,,,,,26,53,53,79,79,88,79,,,,,,,,,,,,,,,135,231,73,,146,146,146,,1337
UAE,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,,,,,,60,,369
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,24,28
United States,,,,,,,,,,,,,,,,,4,15,11,4,8,,,,,,,,,,,,,,,,,34,50,50,34,34,34,17,50,,,,,17,143,504
Uruguay,,,,,,3,,,,,,,4,15,,,,,,,,1,,,,,,,,,,,,,,,,,,1,20,,,,,1,,,,,22,67
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,,,,,48
Venezuela,,,,,,,,,,,,8,8,,,,22,,,,,,,,,,,,8,,,,,,,,,,,24,24,188,55,,,,,,,,24,358
Viet Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,24,,,,,,36
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,9
Zimbabwe,,,,,,,,,,,,,,23,,,23,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,70,140,4,4,84,267,46,25,38,18,10,130,251,352,242,85,183,153,142,176,115,104,69,103,248,87,111,632,171,45,47,8,18,96,52,109,841,601,601,950,262,1428,545,733,1051,1162,471,820,1025,989,1201,17111
